timestamp,T2M,T2MDEW,RH2M,QV2M,TS,PS,WS10M,WS50M,WD10M,PRECTOTCORR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DWN
2018-01-01 00:00:00,4.41,4.92,100.0,5.39,5.63,100.44,3.56,5.33,10.8,0.0,0.0,235.73,0.0,0.0
2018-01-01 01:00:00,4.27,4.77,100.0,5.33,5.57,100.45,3.47,5.15,13.8,0.0,0.0,234.95,0.0,0.0
2018-01-01 02:00:00,4.08,4.54,100.0,5.25,5.38,100.44,3.19,4.66,17.0,0.0,0.0,240.95,0.0,0.0
2018-01-01 03:00:00,3.89,4.29,100.0,5.16,5.07,100.4,2.89,4.11,17.9,0.0,0.0,234.57,0.0,0.0
2018-01-01 04:00:00,3.75,4.04,100.0,5.07,4.73,100.37,2.61,3.66,18.8,0.0,0.0,234.52,0.0,0.0
2018-01-01 05:00:00,3.6,3.82,100.0,4.99,4.4,100.37,2.38,3.24,27.9,0.0,0.0,235.95,0.0,0.0
2018-01-01 06:00:00,3.45,3.64,100.0,4.93,4.32,100.39,2.2,2.95,45.2,0.0,0.0,237.32,0.0,0.0
2018-01-01 07:00:00,3.46,3.49,100.0,4.87,4.94,100.42,2.17,2.97,61.7,0.0,7.9,238.07,2.75,7.88
2018-01-01 08:00:00,5.04,3.67,90.9,4.94,7.92,100.45,2.58,3.04,74.7,0.0,121.65,250.07,48.63,119.9
2018-01-01 09:00:00,6.44,3.73,82.82,4.96,10.37,100.45,2.75,2.83,81.6,0.0,274.92,251.95,113.82,266.27
2018-01-01 10:00:00,8.09,3.79,74.42,4.99,12.72,100.45,2.42,2.48,86.2,0.0,395.88,262.95,164.73,379.25
2018-01-01 11:00:00,9.8,3.71,65.87,4.96,14.72,100.4,1.79,1.81,85.5,0.0,468.17,261.48,202.98,466.02
2018-01-01 12:00:00,12.0,2.18,51.37,4.48,16.5,100.33,0.96,0.95,69.9,0.0,487.77,265.42,212.4,485.0
2018-01-01 13:00:00,13.07,1.65,46.15,4.32,16.91,100.26,0.41,0.44,62.2,0.0,443.67,267.02,193.72,443.1
2018-01-01 14:00:00,13.33,1.61,45.15,4.3,16.14,100.24,0.11,0.08,138.8,0.0,345.12,270.6,149.84,344.67
2018-01-01 15:00:00,13.05,2.53,49.18,4.6,14.13,100.23,0.38,0.4,195.1,0.0,201.9,265.2,85.13,201.62
2018-01-01 16:00:00,12.06,2.68,53.15,4.66,10.3,100.21,0.76,0.89,181.5,0.0,45.75,261.38,16.93,45.7
2018-01-01 17:00:00,11.08,1.95,53.91,4.43,8.25,100.18,1.49,1.79,160.8,0.0,0.0,256.77,0.0,0.0
2018-01-01 18:00:00,10.18,2.71,60.19,4.66,7.82,100.15,2.34,2.93,154.4,0.0,0.0,254.9,0.0,0.0
2018-01-01 19:00:00,9.37,3.17,65.58,4.81,7.51,100.13,2.91,3.75,155.9,0.0,0.0,253.45,0.0,0.0
2018-01-01 20:00:00,8.81,3.48,69.49,4.91,7.25,100.09,3.25,4.24,159.3,0.0,0.0,258.88,0.0,0.0
2018-01-01 21:00:00,8.4,3.74,72.87,5.01,7.06,100.06,3.53,4.66,161.3,0.0,0.0,250.45,0.0,0.0
2018-01-01 22:00:00,8.07,4.03,75.98,5.11,6.91,100.03,3.75,5.03,162.1,0.0,0.0,250.9,0.0,0.0
2018-01-01 23:00:00,7.79,4.34,79.23,5.23,6.79,99.99,3.89,5.33,161.4,0.0,0.0,250.27,0.0,0.0
2018-01-02 00:00:00,7.54,4.66,82.39,5.35,6.73,99.93,4.0,5.64,159.1,0.0,0.0,250.35,0.0,0.0
2018-01-02 01:00:00,7.47,4.93,84.44,5.46,6.87,99.88,4.21,6.07,155.4,0.0,0.0,250.55,0.0,0.0
2018-01-02 02:00:00,7.74,5.25,84.84,5.59,7.45,99.85,4.32,6.35,153.3,0.0,0.0,262.55,0.0,0.0
2018-01-02 03:00:00,7.83,5.59,86.37,5.73,7.58,99.8,4.36,6.51,152.0,0.0,0.0,250.75,0.0,0.0
2018-01-02 04:00:00,7.89,6.11,89.57,5.97,7.68,99.75,4.38,6.63,151.2,0.01,0.0,257.02,0.0,0.0
2018-01-02 05:00:00,8.15,6.84,92.82,6.3,8.05,99.72,4.48,7.02,152.2,0.07,0.0,261.1,0.0,0.0
2018-01-02 06:00:00,9.81,8.26,91.2,6.93,9.95,99.69,4.76,7.49,160.5,0.1,0.0,270.52,0.0,0.0
2018-01-02 07:00:00,10.69,9.56,93.49,7.54,10.54,99.65,4.7,7.33,170.4,0.2,8.77,296.52,2.23,5.93
2018-01-02 08:00:00,12.07,10.12,88.22,7.8,12.12,99.62,4.53,7.04,179.9,0.24,127.72,325.8,23.68,52.62
2018-01-02 09:00:00,13.73,10.64,81.65,8.05,14.05,99.62,4.77,6.58,186.9,0.19,281.48,335.9,44.38,95.7
2018-01-02 10:00:00,14.68,10.57,76.31,8.0,15.27,99.62,5.33,6.51,195.9,0.12,401.02,347.12,69.03,149.02
2018-01-02 11:00:00,15.26,10.4,72.65,7.91,16.01,99.58,5.86,7.11,208.5,0.11,471.4,341.27,96.88,209.65
2018-01-02 12:00:00,15.52,10.28,70.88,7.85,16.25,99.53,5.86,7.05,216.3,0.26,479.23,330.25,112.15,243.3
2018-01-02 13:00:00,15.56,10.34,70.92,7.88,16.21,99.47,5.44,6.51,218.1,0.22,431.58,332.2,105.83,228.68
2018-01-02 14:00:00,15.44,10.49,72.27,7.97,15.86,99.46,4.77,5.73,216.8,0.32,327.42,333.25,82.81,178.6
2018-01-02 15:00:00,15.03,10.9,76.14,8.18,14.99,99.44,3.7,5.01,213.6,0.59,188.75,332.95,47.01,104.95
2018-01-02 16:00:00,13.28,10.88,85.29,8.18,12.47,99.44,2.97,4.61,208.1,0.64,42.33,321.25,9.96,23.98
2018-01-02 17:00:00,11.79,10.4,91.08,7.92,10.64,99.44,3.12,4.5,201.5,0.82,0.0,319.23,0.0,0.0
2018-01-02 18:00:00,11.41,10.34,92.94,7.88,10.25,99.45,3.3,4.8,199.3,0.68,0.0,313.75,0.0,0.0
2018-01-02 19:00:00,11.22,10.24,93.53,7.83,10.15,99.46,3.59,5.3,199.8,0.62,0.0,318.3,0.0,0.0
2018-01-02 20:00:00,11.28,9.98,91.59,7.7,10.4,99.44,3.87,5.89,199.7,0.52,0.0,343.12,0.0,0.0
2018-01-02 21:00:00,10.93,9.38,89.96,7.39,9.93,99.4,4.17,6.5,197.9,0.31,0.0,326.25,0.0,0.0
2018-01-02 22:00:00,10.74,8.75,87.39,7.09,9.77,99.36,4.36,6.83,193.9,0.13,0.0,322.67,0.0,0.0
2018-01-02 23:00:00,11.22,8.65,84.13,7.05,10.5,99.32,4.27,6.81,187.1,0.38,0.0,325.05,0.0,0.0
2018-01-03 00:00:00,11.7,9.04,83.64,7.24,11.11,99.27,4.32,6.99,183.5,1.34,0.0,314.33,0.0,0.0
2018-01-03 01:00:00,11.85,9.39,84.74,7.41,11.31,99.25,4.59,7.43,184.1,3.5,0.0,309.62,0.0,0.0
2018-01-03 02:00:00,12.07,9.68,85.18,7.56,11.75,99.23,4.75,7.62,186.3,6.58,0.0,302.55,0.0,0.0
2018-01-03 03:00:00,12.12,9.83,85.76,7.64,11.94,99.19,4.76,7.55,183.7,12.56,0.0,338.58,0.0,0.0
2018-01-03 04:00:00,11.67,9.94,88.99,7.7,11.6,99.14,4.76,7.54,171.1,22.47,0.0,339.52,0.0,0.0
2018-01-03 05:00:00,11.77,10.61,92.56,8.07,12.07,99.07,6.06,8.67,168.2,46.35,0.0,338.75,0.0,0.0
2018-01-03 06:00:00,12.17,10.89,91.82,8.22,12.42,99.06,7.42,9.96,183.2,80.13,0.0,329.98,0.0,0.0
2018-01-03 07:00:00,12.45,10.69,88.87,8.1,12.58,99.1,6.88,9.38,200.2,87.51,8.15,337.8,1.83,4.65
2018-01-03 08:00:00,12.32,10.17,86.61,7.82,12.51,99.18,5.93,8.43,217.4,24.05,124.62,349.92,22.7,49.92
2018-01-03 09:00:00,12.35,9.51,82.65,7.47,12.81,99.25,5.68,7.78,228.0,8.81,279.23,342.17,55.05,119.45
2018-01-03 10:00:00,12.43,8.81,78.42,7.12,13.48,99.29,5.62,6.95,227.5,6.18,399.8,340.92,79.9,172.3
2018-01-03 11:00:00,12.56,8.34,75.34,6.9,13.99,99.28,5.54,6.63,220.9,5.3,471.05,339.6,92.0,197.38
2018-01-03 12:00:00,12.88,8.09,72.57,6.79,14.67,99.23,5.12,6.0,216.8,3.73,479.62,336.7,91.31,195.32
2018-01-03 13:00:00,12.89,7.95,71.77,6.72,14.56,99.21,4.47,5.26,215.1,3.42,434.35,340.98,67.9,142.48
2018-01-03 14:00:00,12.62,7.9,72.83,6.7,13.93,99.21,3.6,4.33,212.2,3.26,335.95,345.58,56.73,121.32
2018-01-03 15:00:00,12.13,8.19,76.68,6.83,13.03,99.22,2.45,3.39,208.2,3.0,196.38,343.38,31.0,66.53
2018-01-03 16:00:00,11.22,8.68,84.18,7.06,11.8,99.24,1.7,2.93,199.3,1.82,45.67,335.83,7.55,17.02
