method,trial,hidden_size,learning_rate,batch_size,num_layers,val_rmse,val_r2,train_seconds
optuna,0,64,0.0002051338263087451,128,1,27.794100523776287,0.9767981767654419,6.741067886352539
optuna,1,32,0.00023270677083837802,64,1,26.833432151975778,0.9783743619918823,10.541718006134033
optuna,2,256,0.00025081156860452336,256,1,26.082417074894536,0.9795679450035095,20.392858743667603
optuna,3,64,0.0001567993391672301,32,2,24.289723374733885,0.9822800755500793,26.872373342514038
optuna,4,64,0.0012399967836846098,64,1,24.75533845913973,0.9815942049026489,10.143842458724976
optuna,5,32,0.0004473636174621269,128,2,25.876874035773355,0.9798886775970459,6.639781475067139
optuna,6,256,0.0035033984911586884,128,2,26.644902057693184,0.9786771535873413,62.1778781414032
optuna,7,256,0.0017643967683381545,32,1,25.158602131884606,0.9809896945953369,87.26523971557617
optuna,8,32,0.0033233042062267943,64,1,25.09117407778206,0.9810914397239685,10.47119665145874
optuna,9,128,0.0010402587615883842,32,1,23.25931091914792,0.9837515950202942,20.066295623779297
optuna,10,128,0.00024308135938113702,32,1,23.648970457737427,0.9832026362419128,19.8975191116333
optuna,11,128,0.0004628035093465436,32,1,22.46523260563733,0.9848421216011047,19.869587421417236
optuna,12,128,0.0010110914433028885,32,1,22.968562658674763,0.9841552972793579,19.94481897354126
optuna,13,128,0.0019941480997444556,256,1,23.683102483874844,0.9831541180610657,9.792678117752075
optuna,14,128,0.0005153865383867256,64,1,24.546643756867507,0.9819032549858093,11.648587703704834
optuna,15,128,0.0004911673986411621,32,2,24.148726896923314,0.9824852347373962,27.056219339370728
optuna,16,64,0.0014977740248494193,32,2,25.580748519623477,0.9803463816642761,26.725306749343872
optuna,17,32,0.00011155537399074889,32,1,28.422874630235658,0.9757365584373474,20.684957265853882
optuna,18,256,0.00046534881364761817,32,1,22.15582025323707,0.9852567911148071,87.38760924339294
optuna,19,256,0.00031114584086760664,32,1,22.830138194083222,0.9843457341194153,90.91748833656311
optuna,20,32,0.0005960296512661364,256,1,28.043366772231092,0.9763801693916321,2.432103395462036
optuna,21,256,0.0004992492136169853,32,1,22.54259003483219,0.9847375750541687,84.77117228507996
optuna,22,256,0.0007077489953927262,128,1,23.277065479646485,0.9837267994880676,26.24340009689331
optuna,23,256,0.004573682634861253,32,1,33.72654530779038,0.9658367037773132,163.64463257789612
optuna,24,256,0.0007596244588309679,32,1,23.271209558936498,0.9837349653244019,150.98899340629578
optuna,25,256,0.00010265022959160894,64,2,24.958929887964825,0.9812902212142944,129.71077275276184
optuna,26,64,0.00045389045794338697,32,1,23.314841799689127,0.9836739301681519,35.647140979766846
optuna,27,256,0.0004492554677060813,256,2,25.218016659876575,0.9808998107910156,53.299729347229004
optuna,28,32,0.0007844287318159089,32,2,25.50018908860653,0.9804699420928955,48.34583902359009
optuna,29,256,0.00042210711503438644,128,1,23.46231628898842,0.9834667444229126,39.103567123413086
random,0,32,0.005214297905300547,256,2,26.90937005537929,0.9782518148422241,3.884882688522339
random,1,64,0.0001542960100551974,32,2,24.30707558181041,0.9822547435760498,32.70267939567566
random,2,128,0.0037336070725030356,256,2,25.80315475693149,0.9800031185150146,20.727481603622437
random,3,256,0.0007957412573105524,128,1,22.38646689735753,0.9849482178688049,41.22553324699402
random,4,128,0.0019396806804067679,64,1,24.246992101631132,0.9823423624038696,17.01072907447815
random,5,256,0.0007705989229173013,64,2,24.25062922025169,0.9823370575904846,151.59729838371277
random,6,64,0.0001341635410168891,32,1,24.80558192285055,0.9815194606781006,27.503141164779663
random,7,128,0.001833702167104593,256,2,25.884095293445284,0.9798774719238281,20.638479471206665
random,8,32,0.00873767825544199,256,2,26.240445387247025,0.9793196320533752,6.082857131958008
random,9,64,0.0036038523876847856,64,2,26.43319977401466,0.9790146946907043,22.625916242599487
random,10,256,0.00012235100233650865,32,1,23.839678295448298,0.9829306602478027,164.79674339294434
random,11,64,0.0023232604885522565,128,1,24.29547448736917,0.982271671295166,8.95722246170044
random,12,256,0.00044838462907863556,128,1,23.24016666634918,0.9837783575057983,41.102760553359985
random,13,256,0.000869183798567753,256,1,24.282100863872575,0.9822912216186523,24.288329362869263
random,14,256,0.0008941489120323666,32,1,23.57742994129595,0.9833041429519653,167.10562467575073
random,15,32,0.002185888420054087,64,1,24.576515761049713,0.9818591475486755,17.58567523956299
random,16,256,0.0025149549152136495,64,1,23.71028623487797,0.9831154346466064,83.37903356552124
random,17,256,0.00461869838886613,32,1,27.92752504740507,0.9765748977661133,115.22281885147095
random,18,64,0.00037727341902696,256,2,24.623997391946617,0.9817889928817749,7.724529266357422
random,19,64,0.00019032900062238635,32,2,24.219474535533255,0.9823824167251587,26.85488796234131
random,20,256,0.0037484243895631324,32,2,28.86632060606324,0.9749735593795776,167.26415133476257
random,21,32,0.0025723541334066293,256,2,25.18856983421188,0.9809443950653076,3.819639205932617
random,22,64,0.0013724053168927633,256,2,25.091453817734436,0.9810910224914551,7.7400970458984375
random,23,64,0.00016945724718950912,32,1,24.48831583234518,0.9819891452789307,20.728506326675415
random,24,64,0.0013504304218264766,128,2,25.397916020484708,0.9806262850761414,8.723103284835815
random,25,64,0.0018596732323761858,32,2,26.43617595125629,0.9790099263191223,26.78228497505188
random,26,128,0.0004054153574900177,128,1,27.382897200296963,0.9774796366691589,9.679215431213379
random,27,128,0.0007471964132012045,128,1,23.691713788708782,0.9831418991088867,9.677592039108276
random,28,256,0.005091035747757649,32,1,32.83281737049647,0.9676232933998108,87.52234745025635
random,29,64,0.00013079931915544428,32,1,24.63057370693611,0.9817792773246765,21.027509927749634
